Pilot-in-Command,Air Seconds,Above Sea Level (Meters),Drone Type,Takeoff Bat %,Takeoff Volts,Landing Bat %,Landing Volts,Max Altitude (Meters),Total Mileage (Kilometers),Difference Volts
Piloto B,561,2561.2,Spark,96,12.654,26,10.904,80.4,0.4,1.75
Piloto A,160,2620.4,Mavic Pro,26,11.025,16,10.938,13.1,0.1,0.08699999999999974
Piloto D,352,2558.4,Mavic Pro,95,12.216,69,11.437,30.1,0.2,0.7789999999999999
Piloto A,1209,4.7,Mavic Pro,97,12.626,12,10.678,30.3,1.0,1.9479999999999986
Piloto A,676,799.4,Phantom 4,100,17.263,56,14.9,30.6,1.2,2.3630000000000013
Piloto D,582,1038.2,Phantom 3 Advanced,67,15.802,9,13.779,13.5,0.3,2.0229999999999997
Piloto D,683,2620.4,Spark,99,12.519,8,10.625,42.8,0.4,1.8940000000000001
Piloto B,902,1005.6,Mavic Air 2,98,12.903,48,11.451,32.6,0.7,1.452
Piloto D,618,7.5,Phantom 3 Advanced,71,16.111,12,14.097,36.9,2.8,2.014000000000001
Piloto D,804,2562.7,Phantom 3 Advanced,90,16.619,15,14.043,35.5,0.6,2.5760000000000005
Piloto C,1130,2631.9,Mavic Pro,100,12.75,23,11.126,35.7,0.4,1.6240000000000006
Piloto A,927,455.8,Phantom 3 Advanced,98,17.192,12,14.211,80.6,9.2,2.981
Piloto D,833,2631.9,Phantom 3 Advanced,98,16.962,15,14.123,111.1,0.4,2.8390000000000004
Piloto D,38,687.6,Phantom 3 Advanced,97,16.958,96,14.943,16.4,0.0,2.014999999999999
Piloto A,953,2559.9,Mavic Pro,100,12.779,30,11.201,24.1,0.6,1.5779999999999994
Piloto A,1008,2252.6,Phantom 3 Advanced,100,17.173,23,14.7,82.5,5.4,2.472999999999999
Piloto A,417,2645.4,Mavic Pro,80,12.319,52,11.529,79.8,0.5,0.7900000000000009
Piloto B,1551,323.0,Mavic Air 2,100,13.023,17,11.022,36.5,0.5,2.0009999999999994
Piloto D,223,2561.0,Spark,35,11.153,8,10.485,81.4,0.0,0.668000000000001
Piloto B,675,2561.0,Spark,97,12.587,14,10.782,80.2,0.4,1.8049999999999997
Piloto A,955,1432.8,Phantom 3 Advanced,98,17.045,10,13.928,82.6,10.9,3.117000000000001
Piloto A,168,1511.0,Phantom 3 Professional,96,16.891,41,14.123,4.3,0.1,2.767999999999999
Piloto D,831,2641.7,Phantom 3 Advanced,91,16.612,15,13.961,103.8,3.6,2.650999999999998
Piloto A,0,0.0,Mavic Air 2,96,13.006,96,12.748,0.0,0.0,1.658999999999999
Piloto A,1080,1038.4,Phantom 4,99,17.02,18,14.531,317.9,1.2,2.488999999999999
Piloto D,342,1679.8,Spark,71,12.038,31,10.989,7.5,0.1,1.0489999999999995
Piloto D,1017,6.4,Matrice 210 RTK V2,92,24.401,33,22.282,130.1,6.6,2.1189999999999998
Piloto D,0,2561.5,Matrice 210 RTK V2,82,24.756,82,24.735,0.0,0.0,0.021000000000000796
Piloto A,1189,2626.4,Mavic Pro,100,12.845,12,10.849,90.0,3.2,1.9960000000000004
Piloto A,921,612.1,Phantom 3 Advanced,100,17.174,23,14.271,163.1,5.0,2.9029999999999987
Piloto A,517,2556.9,Spark,97,11.502,31,10.766,30.9,0.2,0.7360000000000007
Piloto D,47,348.5,Phantom 3 Advanced,100,17.244,98,15.859,103.2,0.3,1.3849999999999998
Piloto A,11,272.3,Mavic Air 2,90,12.535,90,12.516,24.6,0.0,0.019000000000000128
Piloto D,39,2557.0,Phantom 3 Advanced,97,17.006,95,15.169,27.4,0.0,1.8369999999999997
Piloto A,867,2775.3,Mavic Pro,78,11.948,13,10.825,42.7,3.9,1.123000000000001
Piloto D,287,261.5,Phantom 3 Advanced,82,16.433,56,14.692,4.7,0.2,1.7409999999999997
Piloto B,646,2631.8,Mavic Air 2,50,11.438,9,10.842,51.2,1.8,0.5960000000000001
Piloto A,645,1608.6,Mavic Pro,74,11.417,27,10.855,50.8,3.1,0.5619999999999994
Piloto A,61,337.8,Phantom 3 Advanced,50,15.387,48,14.544,4.1,0.0,0.843
Piloto D,128,2561.2,Matrice 210 RTK V2,59,23.496,49,22.603,50.7,0.0,0.8929999999999971
Piloto D,693,2560.9,Spark,91,12.345,8,10.571,79.6,0.6,1.774000000000001
Piloto B,545,2620.7,Spark,91,12.437,17,10.798,45.6,0.3,1.6389999999999993
Piloto B,1010,1277.7,Phantom 3 Professional,95,16.896,10,14.027,101.5,5.2,2.8690000000000015
Piloto D,865,1883.4,Phantom 3 Advanced,100,17.137,12,14.246,313.1,8.7,2.891
Piloto B,1133,333.6,Mavic Air 2,77,12.305,15,10.97,5.7,0.3,1.334999999999999
Piloto B,312,2751.9,Spark,99,12.578,60,11.332,12.2,0.2,1.2459999999999987
Piloto A,1154,1151.8,Phantom 3 Advanced,99,17.102,19,14.605,71.4,5.3,2.497
Piloto D,0,0.0,Phantom 3 Advanced,37,14.919,36,14.767,0.0,0.0,0.15200000000000102
Piloto D,400,2561.3,Spark,100,12.753,50,11.298,27.8,0.2,1.455
Piloto A,689,2922.7,Spark,98,12.611,6,10.758,63.7,1.7,1.8530000000000015
Piloto A,1131,2631.4,Mavic Pro,100,12.824,16,10.998,65.5,0.5,1.8260000000000005
Piloto D,0,2561.4,Matrice 210 RTK V2,77,24.464,77,24.448,0.0,0.0,0.015999999999998238
Piloto A,120,3.0,Mavic Pro,25,11.173,16,10.885,6.9,0.2,0.28800000000000026
Piloto D,181,0.0,Spark,39,11.202,5,10.594,0.0,0.0,0.6080000000000005
Piloto A,963,2088.6,Phantom 4,99,17.108,16,14.418,392.6,6.4,2.6900000000000013
Piloto D,1001,1069.0,Phantom 3 Advanced,98,17.125,12,14.015,97.5,1.1,3.1099999999999994
Piloto A,675,2631.8,Mavic Pro,75,12.014,25,11.031,65.8,0.3,0.9829999999999988
Piloto A,703,2620.7,Spark,97,12.637,10,10.705,54.1,0.8,1.9320000000000004
Piloto D,840,2562.5,Phantom 3 Advanced,98,16.967,17,13.977,60.2,2.1,2.9899999999999984
Piloto B,416,2556.0,Mavic Air 2,97,12.862,75,12.085,42.6,0.3,0.7769999999999992
Piloto D,46,1069.1,Phantom 3 Advanced,96,16.943,95,15.039,4.7,0.1,1.9040000000000017
Piloto D,800,2629.8,Phantom 3 Advanced,97,16.971,21,14.131,98.0,0.2,2.84
Piloto A,663,2632.0,Mavic Pro,100,12.735,54,11.344,66.2,0.9,1.391
Piloto D,754,38.6,Phantom 3 Advanced,98,17.047,32,14.32,299.1,3.8,2.7270000000000003
Piloto B,100,2561.7,Spark,97,12.553,85,11.831,21.4,0.0,0.7220000000000013
Piloto A,926,1686.7,Phantom 3 Advanced,98,16.86,24,14.612,396.3,5.5,2.2479999999999993
Piloto A,1148,2631.5,Mavic Pro,99,12.781,10,10.753,56.4,2.6,2.0280000000000005
Piloto A,682,2715.8,Mavic Pro,79,12.121,26,11.245,68.1,0.7,0.8760000000000012
Piloto D,0,3.7,Phantom 3 Advanced,94,16.919,94,16.919,0.0,0.0,0.0
Piloto A,1132,2631.7,Mavic Pro,100,12.826,15,10.856,51.9,2.7,1.9700000000000006
Piloto A,460,2579.7,Mavic Pro,65,11.542,30,11.115,75.6,0.3,0.4269999999999996
Piloto D,824,12.1,Phantom 3 Advanced,98,17.114,24,14.431,149.9,5.6,2.6830000000000016
Piloto A,58,2557.2,Phantom 3 Professional,93,16.724,90,15.254,5.7,0.0,1.4700000000000006
Piloto A,952,1604.0,Phantom 3 Advanced,96,16.779,9,14.13,80.9,10.0,2.648999999999999
Piloto D,485,2253.1,Mavic Pro,54,11.588,10,10.881,291.9,2.9,0.706999999999999
Piloto D,476,288.9,Spark,94,12.695,40,11.115,37.2,0.4,1.58
Piloto A,670,2620.3,Spark,98,12.045,9,10.548,66.0,0.2,1.4969999999999999
Piloto B,43,0.0,Spark,97,12.489,92,11.796,0.0,0.0,0.6930000000000014
Piloto A,750,2620.6,Spark,100,12.833,12,10.732,52.1,0.8,2.101000000000001
Piloto D,20,0.0,Spark,86,12.399,83,12.024,0.0,0.0,0.375
Piloto A,296,2595.4,Phantom 3 Advanced,95,16.92,72,14.923,45.4,1.6,1.9970000000000017
Piloto D,248,0.0,Mavic Mini,96,8.18,66,7.541,0.0,0.0,0.6389999999999993
Piloto A,645,2620.7,Spark,97,12.745,18,10.749,42.0,0.2,1.9959999999999987
Piloto A,835,2641.2,Phantom 3 Advanced,95,16.3,15,14.128,89.1,2.1,2.1720000000000006
Piloto A,113,27.3,Mavic Pro,99,12.788,93,12.311,4.1,0.0,0.4770000000000003
Piloto A,459,749.5,Mavic Air 2,99,12.972,76,12.089,12.8,0.3,0.8829999999999991
Piloto A,687,2631.7,Mavic Pro,100,12.604,51,11.354,8.1,0.2,1.25
Piloto B,606,2557.6,Spark,96,12.605,18,10.811,58.0,0.3,1.7940000000000005
Piloto D,718,1952.5,Phantom 3 Advanced,96,16.846,22,14.085,168.5,5.6,2.7609999999999992
Piloto A,1065,2563.3,Phantom 4,99,16.842,17,14.709,17.2,0.9,2.132999999999999
Piloto D,852,2558.7,Phantom 3 Advanced,95,16.977,13,13.948,56.2,3.7,3.029
Piloto A,123,5.2,Phantom 3 Advanced,94,16.952,87,15.82,6.9,0.1,1.1320000000000014
Piloto D,778,1497.5,Phantom 3 Advanced,98,17.096,27,14.179,120.5,6.0,2.917
Piloto A,954,2564.0,Mavic Pro,100,12.442,28,11.095,65.7,0.4,1.3469999999999995
Piloto D,886,2593.3,Phantom 3 Advanced,96,16.777,17,13.839,95.4,8.6,2.9380000000000006
Piloto A,723,2569.1,Phantom 3 Advanced,91,16.605,23,14.357,201.7,5.9,2.248000000000001
Piloto D,816,7.7,Spark,95,12.697,14,10.776,61.7,3.7,1.9209999999999994
Piloto D,224,1691.5,Phantom 3 Advanced,97,17.03,80,15.014,14.8,0.2,2.016000000000002
Piloto A,568,2560.7,Mavic Pro,100,12.943,62,11.484,114.1,0.6,1.4589999999999996
Piloto A,1167,2476.7,Phantom 4,99,17.119,12,14.539,87.9,2.0,2.58
Piloto D,1479,7.7,Matrice 210 RTK V2,100,26.027,15,21.67,150.1,16.0,4.356999999999999
Piloto D,7,3.9,Phantom 3 Advanced,97,17.107,97,16.798,1.1,0.0,0.30900000000000105
Piloto D,542,2858.0,Phantom 3 Advanced,95,17.013,44,14.676,263.5,1.5,2.3370000000000015
Piloto A,737,1871.9,Phantom 3 Advanced,97,16.921,23,14.16,210.4,4.4,2.7609999999999992
Piloto D,766,2623.8,Phantom 3 Advanced,92,16.762,13,13.952,51.3,3.9,2.8100000000000005
Piloto A,1141,2558.0,Mavic Pro,100,12.766,15,10.881,29.0,0.8,1.8849999999999998
Piloto D,822,36.0,Phantom 3 Advanced,97,17.101,21,14.434,113.6,5.9,2.667
Piloto A,1042,317.1,Phantom 3 Professional,98,17.012,13,14.055,50.9,0.9,2.9570000000000007
Piloto D,471,2666.4,Phantom 3 Advanced,97,16.809,35,14.225,1.3,0.3,2.5840000000000014
Piloto A,517,270.9,Phantom 3 Professional,92,16.272,50,14.419,25.7,0.7,1.852999999999998
Piloto D,402,1442.6,Phantom 3 Advanced,97,16.972,62,14.737,364.1,1.6,2.235000000000001
Piloto A,8,337.9,Phantom 3 Advanced,96,17.054,96,15.982,0.6,0.0,1.0719999999999992
Piloto A,630,2636.9,Mavic Pro,79,11.762,32,10.941,65.8,0.3,0.8209999999999997
Piloto A,496,2578.6,Mavic Pro,96,12.35,59,11.159,48.5,1.8,1.190999999999999
Piloto A,682,2620.5,Mavic Pro,65,11.762,12,10.725,67.7,0.3,1.0370000000000008
Piloto A,203,2620.4,Mavic Pro,28,10.938,11,10.806,66.3,0.1,0.13200000000000145
Piloto D,672,8.0,Matrice 210 RTK V2,100,25.882,61,23.068,130.2,5.5,2.814
Piloto B,705,2561.1,Spark,97,12.636,13,10.779,80.0,0.5,1.8569999999999993
Piloto A,427,1233.1,Phantom 4,57,15.587,21,14.662,123.6,3.9,0.9249999999999989
Piloto B,92,0.0,Spark,22,11.128,9,10.656,0.0,0.0,0.47199999999999953
Piloto D,952,11.9,Phantom 3 Advanced,97,17.019,13,14.416,31.5,6.2,2.602999999999998
Piloto A,224,2632.2,Mavic Pro,36,11.354,19,11.025,3.5,0.1,0.32899999999999885
Piloto A,906,1803.4,Phantom 4,97,16.802,22,14.504,431.4,7.1,2.298
Piloto D,0,1128.1,Phantom 3 Advanced,43,15.188,43,15.181,0.0,0.0,0.0070000000000014495
Piloto A,1101,2632.2,Mavic Pro,100,12.305,18,11.049,25.8,0.4,1.2560000000000002
Piloto B,37,2646.9,Mavic Air 2,14,10.811,12,10.895,33.6,0.0,-0.08399999999999963
Piloto A,604,2631.9,Mavic Pro,98,12.665,51,11.219,68.7,0.3,1.4459999999999997
Piloto D,0,2503.5,Phantom 3 Advanced,91,16.733,91,16.673,0.0,0.0,0.060000000000002274
Piloto A,34,2549.9,Mavic Mini,70,7.829,67,7.615,1.2,0.0,0.21399999999999952
Piloto D,646,2554.9,Spark,92,12.434,20,10.769,31.2,0.2,1.6649999999999991
Piloto A,234,2624.1,Mavic Pro,99,11.827,80,11.719,34.0,0.3,0.10800000000000054
Piloto A,685,2619.1,Spark,97,12.795,13,10.776,99.6,0.3,2.019
Piloto A,1005,2114.0,Mavic Pro,99,12.669,26,11.223,90.9,2.8,1.4459999999999997
Piloto A,691,2817.9,Spark,100,12.805,21,10.859,15.5,0.1,1.9459999999999997
Piloto A,598,2620.6,Spark,88,12.311,12,10.548,17.8,0.3,1.763
Piloto D,394,1.6,Phantom 3 Advanced,38,15.138,10,14.451,80.3,0.8,0.6869999999999994
Piloto A,937,1026.8,Mavic Air 2,96,13.006,45,12.748,139.8,1.4,1.658999999999999
Piloto B,930,1923.4,Mavic Air 2,96,12.685,40,11.244,110.7,1.4,1.4410000000000007
Piloto A,1057,2631.8,Mavic Pro,100,12.724,23,10.977,50.4,2.5,1.7469999999999999
Piloto B,0,0.0,Spark,96,12.598,96,12.655,0.0,0.0,-0.05699999999999861
Piloto D,558,2620.3,Spark,86,12.481,11,10.777,59.3,0.2,1.7040000000000006
Piloto A,590,2631.9,Mavic Pro,65,11.816,19,11.104,13.5,0.2,0.7120000000000015
Piloto D,975,1069.5,Phantom 3 Advanced,98,17.076,11,13.935,3.9,0.5,3.141
Piloto D,0,1128.7,Phantom 3 Advanced,43,15.187,43,15.187,0.0,0.0,0.0
Piloto D,264,2557.4,Matrice 210 RTK V2,30,21.862,13,21.52,75.7,0.8,0.34199999999999875
Piloto A,0,0.0,Spark,98,12.655,97,12.51,0.0,0.0,0.14499999999999957
Piloto A,795,2665.5,Phantom 3 Advanced,98,16.806,34,14.417,76.7,3.8,2.389000000000001
Piloto D,540,2558.3,Spark,99,12.459,30,10.915,121.4,0.6,1.5440000000000005
Piloto A,698,1448.2,Mavic Air 2,51,11.442,10,10.881,82.7,1.1,0.5609999999999999
Piloto A,814,2635.3,Mavic Pro,87,11.737,21,10.86,65.5,0.2,0.8770000000000007
Piloto D,898,1736.0,Phantom 3 Advanced,97,16.993,22,14.129,87.1,3.6,2.863999999999999
Piloto A,345,2631.8,Mavic Pro,100,12.368,75,11.806,4.6,0.1,0.5620000000000012
Piloto A,496,2631.8,Mavic Pro,100,12.541,64,11.2,4.4,0.2,1.341000000000001
Piloto B,177,2629.7,Mavic Air 2,100,13.006,92,12.748,24.6,0.1,1.658999999999999
Piloto B,1387,1366.4,Mavic Air 2,100,12.79,22,11.065,53.5,1.5,1.7249999999999996
Piloto A,1073,2620.4,Mavic Pro,99,12.66,13,10.792,68.9,2.4,1.8680000000000003
Piloto D,734,2503.6,Phantom 3 Advanced,88,14.97,17,14.067,111.1,6.6,0.9030000000000005
Piloto D,1032,2561.7,Mavic Pro,96,12.553,13,10.716,60.1,4.6,1.8370000000000015
Piloto A,518,2594.4,Phantom 3 Advanced,98,16.975,49,14.406,102.8,2.3,2.569000000000001
Piloto D,0,2576.9,Mavic Air 2,96,12.663,96,12.798,0.0,0.0,-0.1349999999999998
Piloto A,782,1214.9,Phantom 3 Advanced,88,16.623,20,14.491,500.4,6.9,2.1320000000000014
Piloto A,155,647.9,Mavic Pro,87,12.195,76,11.892,499.7,0.0,0.3030000000000008
Piloto A,571,2620.2,Spark,98,12.644,22,10.836,16.1,0.2,1.8079999999999998
Piloto B,611,2569.4,Phantom 3 Professional,71,15.983,16,13.799,45.1,5.2,2.184000000000001
Piloto D,612,1683.3,Spark,83,12.337,11,10.664,101.6,0.2,1.673
Piloto D,844,2734.8,Phantom 3 Advanced,97,17.055,17,14.091,49.2,4.4,2.9640000000000004
Piloto A,501,2542.8,Mavic Pro,100,12.373,68,11.75,9.2,0.3,0.6229999999999993
Piloto A,680,2620.3,Spark,97,12.568,12,10.725,67.2,0.5,1.843
Piloto A,691,2216.3,Phantom 4,100,17.088,47,14.627,42.2,1.0,2.4610000000000003
Piloto D,0,0.0,Phantom 3 Advanced,56,15.365,55,15.266,0.0,0.0,0.0990000000000002
Piloto D,0,2576.9,Mavic Air 2,95,12.825,95,12.75,0.0,0.0,0.07499999999999929
Piloto B,929,2629.8,Mavic Air 2,72,12.096,15,10.963,55.7,1.0,1.133000000000001
Piloto A,0,0.0,Mavic Air 2,80,13.006,80,12.748,0.0,0.0,1.658999999999999
Piloto D,0,3.9,Phantom 3 Advanced,97,17.018,97,17.003,0.0,0.0,0.015000000000000568
Piloto A,694,2922.2,Spark,91,12.449,8,10.491,36.2,0.9,1.9580000000000002
Piloto B,1455,2629.7,Mavic Air 2,100,13.006,13,12.748,64.8,2.6,1.658999999999999
Piloto D,838,5.0,Phantom 3 Advanced,76,15.365,12,14.08,28.3,2.0,1.2850000000000001
Piloto A,596,2621.0,Mavic Pro,58,11.442,12,11.091,65.5,0.2,0.35100000000000087
Piloto D,226,2564.1,Spark,98,12.809,71,11.682,9.3,0.2,1.126999999999999
Piloto D,629,1007.2,Spark,100,12.931,18,10.928,89.5,0.4,2.0029999999999983
Piloto A,460,692.6,Phantom 4,55,14.792,20,14.409,18.8,0.1,0.3829999999999991
Piloto A,1014,2632.2,Phantom 4,98,15.976,15,14.21,16.0,0.3,1.766
Piloto A,658,2620.2,Spark,97,11.787,9,10.673,65.8,0.5,1.1140000000000008
Piloto A,1192,2560.8,Mavic Air 2,100,12.858,28,11.121,50.2,0.7,1.737
Piloto A,778,306.8,Spark,99,12.845,13,10.835,164.1,2.8,2.01
Piloto D,768,2560.8,Spark,98,12.678,9,10.655,87.8,0.8,2.0230000000000015
Piloto D,149,263.5,Phantom 3 Advanced,97,17.072,87,15.491,3.2,0.2,1.5809999999999995
Piloto D,1121,3.8,Phantom 3 Advanced,95,15.84,12,14.113,43.1,2.0,1.7270000000000003
Piloto D,119,2557.5,Phantom 3 Advanced,61,15.85,52,14.438,38.4,0.9,1.411999999999999
Piloto B,555,2620.8,Spark,83,12.387,16,10.842,104.8,0.5,1.545
Piloto B,782,338.0,Phantom 3 Professional,91,16.777,25,14.055,51.1,4.0,2.7220000000000013
Piloto B,325,2559.9,Mavic Air 2,82,12.089,63,11.647,28.2,0.4,0.44200000000000017
Piloto A,851,3011.2,Phantom 3 Advanced,94,16.876,20,14.106,107.1,8.0,2.7700000000000014
Piloto A,717,1068.9,Mavic Pro,100,12.498,51,11.006,74.0,0.3,1.491999999999999
Piloto A,6,2561.5,Phantom 3 Advanced,83,16.22,82,15.663,0.2,0.0,0.5569999999999986
Piloto B,618,2560.2,Mavic Air 2,100,12.718,64,11.698,39.8,0.2,1.0199999999999996
Piloto D,0,0.0,Spark,99,12.742,99,12.744,0.0,0.0,-0.0019999999999988916
Piloto D,815,959.2,Phantom 3 Advanced,97,16.962,20,14.08,500.2,5.5,2.8819999999999997
Piloto D,413,19.3,Phantom 3 Advanced,57,15.715,13,14.105,78.4,2.8,1.6099999999999994
Piloto A,618,2620.4,Spark,92,12.65,21,10.863,78.1,0.2,1.7870000000000008
Piloto A,1131,4.5,Mavic Pro,98,12.667,22,10.901,14.2,1.0,1.766
Piloto A,1130,2562.0,Mavic Pro,100,12.951,17,11.059,95.5,1.6,1.8920000000000012
Piloto A,809,188.2,Phantom 4,100,17.154,20,14.585,118.0,10.6,2.568999999999999
Piloto A,349,2620.2,Mavic Pro,90,12.105,61,11.129,62.0,0.9,0.9760000000000009
Piloto D,339,6.0,Phantom 3 Advanced,60,15.606,31,14.59,26.5,1.1,1.016
Piloto B,1308,1241.8,Mavic Air 2,99,12.674,21,10.948,202.8,3.1,1.725999999999999
Piloto D,580,1332.9,Phantom 3 Advanced,64,15.814,10,13.954,81.2,4.1,1.8599999999999994
Piloto A,1065,2562.1,Phantom 4,93,16.815,11,14.327,20.6,0.2,2.4880000000000013
Piloto D,791,2741.2,Phantom 3 Advanced,84,15.349,9,14.451,147.8,5.3,0.8979999999999997
Piloto D,822,1071.9,Phantom 3 Advanced,91,16.727,11,14.039,6.6,0.5,2.6880000000000006
Piloto D,919,1156.4,Phantom 3 Advanced,97,17.091,14,14.112,120.8,2.3,2.979000000000001
Piloto A,40,2630.3,Mavic Pro,100,12.611,96,11.396,51.1,0.1,1.2149999999999999
Piloto B,392,2554.0,Mavic Air 2,100,12.92,79,12.214,10.2,0.1,0.7059999999999995
Piloto A,1452,2559.3,Mavic Air 2,99,12.841,10,10.928,29.9,0.5,1.9129999999999985
Piloto A,0,0.0,Phantom 4,96,17.061,96,17.006,0.0,0.0,0.054999999999999716
Piloto A,659,2620.4,Spark,97,12.688,14,10.609,16.6,0.3,2.0790000000000006
Piloto D,136,1950.0,Phantom 3 Advanced,96,16.963,86,15.094,95.6,0.6,1.8690000000000015
Piloto A,163,2631.8,Mavic Pro,80,12.187,79,12.077,53.3,0.0,0.10999999999999943
Piloto B,1014,2636.9,Mavic Air 2,95,12.625,34,11.142,47.0,0.7,1.4830000000000005
Piloto A,1276,389.1,Phantom 4,100,17.129,15,14.256,39.5,1.5,2.873000000000001
Piloto A,1080,338.0,Mavic Pro,99,12.763,26,10.946,125.0,1.1,1.8170000000000002
Piloto D,600,1333.0,Spark,99,12.826,21,10.884,32.6,0.2,1.9420000000000002
Piloto D,592,7.6,Spark,77,12.162,16,10.728,24.3,2.2,1.434000000000001
Piloto D,497,2193.2,Phantom 3 Advanced,60,15.712,9,13.838,58.1,3.8,1.8740000000000006
Piloto A,703,2620.3,Spark,99,12.672,8,10.701,52.2,0.9,1.971
Piloto B,583,2561.0,Spark,83,12.14,10,10.671,80.5,0.3,1.4690000000000012
Piloto A,330,2549.9,Spark,67,11.583,23,10.671,86.1,0.5,0.9120000000000008
Piloto B,0,2620.8,Spark,98,12.679,98,12.679,0.0,0.0,0.0
Piloto A,0,0.0,Mavic Pro,100,12.918,100,12.881,0.0,0.0,0.036999999999999034
Piloto A,1121,2631.9,Mavic Pro,100,12.699,18,10.946,3.6,0.3,1.7530000000000001
Piloto A,1100,2632.0,Mavic Pro,100,12.442,18,10.988,70.6,0.4,1.4540000000000006
Piloto A,281,543.7,Phantom 4,37,14.727,16,14.378,10.3,0.2,0.3490000000000002
Piloto A,1088,2631.3,Mavic Pro,100,12.844,21,10.915,53.3,2.3,1.9290000000000003
Piloto D,0,0.0,Matrice 210 RTK V2,78,24.519,78,24.505,0.0,0.0,0.013999999999999346
Piloto D,13,4.0,Phantom 3 Advanced,87,16.576,86,15.131,1.1,0.0,1.4450000000000003
Piloto A,0,0.0,Mavic Mini,93,8.155,93,8.15,0.0,0.0,0.004999999999999005
Piloto D,763,1070.0,Phantom 3 Advanced,97,17.051,29,14.23,4.6,0.9,2.820999999999998
Piloto D,880,2627.1,Phantom 3 Advanced,100,17.115,15,14.07,107.8,0.4,3.044999999999998
Piloto B,682,2561.0,Spark,95,12.677,15,10.797,82.0,0.6,1.879999999999999
Piloto A,746,2631.8,Mavic Pro,100,12.76,45,11.363,16.2,0.3,1.3970000000000002
Piloto B,0,0.0,Mavic Air 2,98,12.935,98,12.995,0.0,0.0,-0.05999999999999872
Piloto A,865,1624.1,Phantom 3 Advanced,97,16.885,14,13.978,82.0,9.8,2.907000000000002
Piloto A,768,2193.8,Mavic Air 2,96,12.618,53,11.472,133.2,2.1,1.1460000000000008
Piloto A,672,3242.5,Phantom 3 Advanced,76,15.995,19,14.655,74.4,5.3,1.3399999999999999
Piloto D,1017,4.4,Phantom 3 Advanced,100,17.195,20,14.211,41.6,5.2,2.984
Piloto D,655,22.1,Spark,94,12.692,22,10.861,37.7,0.6,1.8309999999999995
Piloto A,80,696.9,Phantom 3 Professional,72,15.712,67,14.66,13.2,0.1,1.0519999999999996
Piloto A,604,2620.4,Spark,98,12.565,19,10.805,9.3,0.2,1.7599999999999998
Piloto A,216,2558.0,Mavic Pro,40,10.962,23,11.027,71.3,0.1,-0.0649999999999995
Piloto B,1352,2559.6,Mavic Air 2,100,12.778,21,10.976,108.9,3.5,1.8019999999999996
Piloto D,1017,4.4,Phantom 3 Advanced,100,17.195,20,14.211,41.6,5.2,2.984
Piloto D,396,2568.1,Mavic Pro,42,11.222,12,10.864,59.6,1.1,0.35799999999999876
Piloto D,481,2620.3,Spark,99,12.738,37,11.014,100.9,0.2,1.7240000000000002
Piloto D,676,2620.3,Spark,97,12.469,10,10.624,51.3,0.6,1.8449999999999989
Piloto D,677,2620.7,Spark,96,12.672,15,10.704,12.2,0.2,1.968
Piloto A,1474,2562.3,Mavic Air 2,97,12.852,8,10.795,17.3,0.3,2.0570000000000004
Piloto A,0,2594.0,Phantom 3 Advanced,97,16.878,97,16.707,0.0,0.0,0.17099999999999937
Piloto D,746,1853.6,Phantom 3 Advanced,96,15.274,21,14.186,93.6,7.5,1.0879999999999992
Piloto D,393,2568.4,Phantom 3 Advanced,50,15.36,13,13.789,39.8,2.3,1.5709999999999997
Piloto D,673,2623.9,Spark,96,12.716,10,10.764,80.8,0.9,1.952
Piloto A,745,2620.4,Spark,95,12.66,10,10.614,67.5,0.5,2.0459999999999994
Piloto B,232,2555.7,Spark,32,11.217,1,10.271,79.0,0.6,0.9459999999999997
Piloto D,375,2595.1,Spark,96,12.804,51,11.353,55.5,0.5,1.4510000000000005
Piloto D,536,333.2,Phantom 3 Advanced,95,16.859,44,14.479,275.1,2.5,2.3800000000000026
Piloto D,14,3.6,Phantom 3 Advanced,88,16.646,88,15.664,2.9,0.0,0.9820000000000011
Piloto D,963,7.7,Phantom 3 Advanced,91,16.74,17,14.195,51.1,5.0,2.544999999999998
Piloto D,549,2564.0,Mavic Pro,54,11.529,11,11.003,71.9,0.5,0.5259999999999998
Piloto A,510,2631.8,Mavic Pro,100,12.739,64,11.764,4.5,0.2,0.9750000000000014
Piloto A,894,2548.5,Mavic Pro,99,12.583,33,11.027,70.7,1.6,1.556000000000001
Piloto A,376,2678.8,Spark,98,12.667,53,11.288,19.2,0.2,1.3789999999999996
Piloto D,608,264.9,Phantom 3 Advanced,95,17.071,48,14.79,83.8,2.3,2.2810000000000024
Piloto A,912,2649.3,Phantom 3 Advanced,91,16.696,15,14.741,53.0,0.2,1.9550000000000018
Piloto B,1521,2554.0,Mavic Air 2,100,12.934,8,10.874,32.5,1.8,2.0599999999999987
Piloto A,738,2550.7,Spark,99,11.813,4,10.544,55.2,0.2,1.2690000000000001
Piloto A,17,4.4,Phantom 3 Advanced,23,14.342,22,14.123,41.0,0.2,0.2190000000000012
Piloto A,64,2561.9,Phantom 4,99,17.034,94,15.557,4.7,0.0,1.4769999999999985
Piloto A,321,2661.8,Mavic Pro,98,12.366,75,11.625,22.0,0.2,0.7409999999999997
Piloto A,233,2142.2,Spark,98,12.686,70,11.675,22.2,0.1,1.0109999999999992
Piloto D,1228,1284.2,Phantom 4,94,16.733,10,14.436,112.4,10.5,2.2970000000000006
